[2, 3, 4, 8, 9, 12, 13, 14, 10, 11]
['GIoU', 'Objectness', 'Classification', 'Precision', 'Recall', 'val GIoU', 'val Objectness', 'val Classification', 'mAP@0.5', 'F1']
       0         1         2:GIoU  3 Obj       4:Cls      5         6         7        8:P      9:R       10:mAP    11:F1    12:vGiou   13:vObj   14:vCls
   168/272     4.65G       0.5     0.296         0     0.796        90       416     0.866     0.957     0.941     0.909     0.558     0.406         0
   169/272     4.65G     0.499     0.305         0     0.804        47       416     0.868     0.963      0.95     0.913     0.544      0.39         0
   170/272     4.65G     0.495     0.293         0     0.788       115       416     0.897     0.956     0.941     0.926     0.552     0.401         0
   171/272     4.65G     0.496     0.299         0     0.794       149       416     0.867     0.962     0.948     0.912     0.561     0.398         0
   172/272     4.65G     0.497     0.296         0     0.792        98       416     0.878     0.958      0.94     0.916     0.559     0.398         0
   173/272     4.65G     0.491     0.298         0     0.789       111       416     0.881     0.957     0.939     0.917     0.562     0.409         0
   174/272     4.65G     0.495     0.294         0     0.789       116       416     0.883     0.959     0.939      0.92     0.553     0.397         0
   175/272     4.65G     0.492     0.293         0     0.785        98       416     0.866     0.965     0.947     0.912     0.548     0.388         0
   176/272     4.65G     0.486     0.284         0     0.771        90       416      0.88     0.958     0.939     0.918     0.547     0.401         0
   177/272     4.65G      0.49     0.295         0     0.785        79       416     0.893     0.954      0.94     0.922     0.552     0.396         0
   178/272     4.65G     0.495     0.285         0     0.779       128       416     0.893     0.958     0.939     0.925     0.556     0.415         0
   179/272     4.65G     0.492     0.299         0     0.791       104       416     0.899     0.954     0.941     0.926     0.542     0.401         0
   180/272     4.65G     0.489     0.298         0     0.787        76       416     0.877     0.957     0.941     0.915      0.57     0.403         0
   181/272     4.65G     0.489     0.292         0     0.781        53       416     0.876      0.96     0.948     0.916     0.545     0.391         0
   182/272     4.65G     0.482     0.279         0     0.762       107       416     0.877     0.956      0.94     0.915     0.557      0.41         0
   183/272     4.65G     0.494     0.287         0     0.781       111       416      0.88     0.953      0.94     0.915     0.552     0.412         0
   184/272     4.65G     0.489     0.296         0     0.785       135       416     0.887     0.956     0.941      0.92     0.558     0.395         0
   185/272     4.65G     0.491     0.292         0     0.783        87       416     0.884     0.958     0.941      0.92     0.554     0.405         0
   186/272     4.65G     0.481     0.277         0     0.758        69       416     0.882      0.96     0.944     0.919      0.54     0.408         0
   187/272     4.65G     0.489     0.294         0     0.783        63       416     0.869     0.964     0.949     0.914     0.558     0.397         0
   188/272     4.65G     0.487     0.288         0     0.775       110       416     0.869     0.963     0.948     0.914     0.548     0.392         0
   189/272     4.65G     0.486     0.287         0     0.772       134       416     0.901      0.95     0.942     0.925     0.539     0.396         0
   190/272     4.65G     0.487     0.285         0     0.772       110       416     0.875      0.96     0.947     0.915     0.547     0.396         0
   191/272     4.65G     0.485     0.275         0     0.761       127       416     0.879      0.96     0.948     0.918     0.548     0.396         0
   192/272     4.65G     0.486       0.3         0     0.786        93       416      0.89     0.954      0.94     0.921      0.55     0.401         0
   193/272     4.65G     0.487     0.284         0     0.771       145       416     0.882      0.96     0.948     0.919     0.536     0.377         0
   194/272     4.65G     0.488      0.29         0     0.778        95       416       0.9     0.955     0.942     0.927     0.554     0.407         0
   195/272     4.65G     0.489     0.284         0     0.773       108       416      0.88     0.959     0.942     0.918     0.531     0.393         0
   196/272     4.65G     0.485     0.297         0     0.782       134       416     0.881     0.961     0.949      0.92     0.545     0.386         0
   197/272     4.65G     0.477     0.279         0     0.756       127       416     0.885     0.954     0.942     0.918      0.56      0.41         0
   198/272     4.65G     0.475     0.279         0     0.754        98       416     0.879     0.958     0.939     0.917     0.556     0.412         0
   199/272     4.65G      0.48     0.282         0     0.762        91       416     0.879     0.962     0.949     0.919      0.55     0.395         0
   200/272     4.65G     0.481     0.283         0     0.764        92       416     0.888     0.956      0.94     0.921     0.543     0.403         0
   201/272     4.65G     0.475     0.286         0     0.761        86       416     0.873     0.962     0.947     0.915     0.531     0.397         0
   202/272     4.65G     0.479     0.286         0     0.765       102       416     0.884     0.958     0.939     0.919     0.542     0.393         0
   203/272     4.65G      0.48     0.277         0     0.757       103       416     0.875     0.959     0.939     0.915     0.549     0.405         0
   204/272     4.65G     0.476     0.281         0     0.757        53       416     0.883     0.957      0.94     0.919     0.543     0.394         0
   205/272     4.65G     0.483     0.282         0     0.764       104       416     0.888     0.953     0.941     0.919     0.561     0.407         0
   206/272     4.65G     0.479     0.281         0     0.759        96       416     0.873     0.962     0.949     0.915     0.542     0.397         0
   207/272     4.65G     0.476     0.282         0     0.758        68       416     0.886     0.958      0.94      0.92     0.536     0.395         0
   208/272     4.65G     0.479     0.276         0     0.755       118       416     0.869     0.961     0.946     0.912     0.545     0.407         0
   209/272     4.65G      0.48     0.285         0     0.764       108       416      0.88     0.961     0.949     0.919     0.542     0.398         0
   210/272     4.65G     0.479      0.29         0     0.769       116       416     0.882     0.961     0.949     0.919     0.534     0.391         0
   211/272     4.65G     0.472     0.283         0     0.755        79       416     0.895     0.955      0.94     0.924     0.538     0.409         0
   212/272     4.65G     0.478     0.284         0     0.762        83       416     0.877     0.959     0.938     0.916     0.541     0.407         0
   213/272     4.65G     0.478     0.278         0     0.756       131       416     0.897     0.957     0.941     0.926     0.547     0.404         0
   214/272     4.65G     0.482     0.283         0     0.765       124       416     0.875     0.961      0.95     0.916     0.544     0.393         0
   215/272     4.65G     0.484     0.279         0     0.762        98       416     0.894     0.955     0.939     0.923      0.53     0.393         0
   216/272     4.65G     0.476     0.275         0     0.751       111       416     0.892      0.96     0.949     0.925     0.536     0.392         0
   217/272     4.65G     0.472     0.281         0     0.753       104       416      0.88     0.958      0.94     0.917      0.54     0.396         0
   218/272     4.65G     0.472     0.275         0     0.747       131       416     0.886     0.957     0.941      0.92     0.541     0.401         0
   219/272     4.65G     0.448     0.272         0      0.72       120       416     0.894     0.958     0.941     0.925     0.522     0.389         0
   220/272     4.65G     0.438      0.25         0     0.688        87       416     0.896     0.957     0.941     0.926     0.514     0.383         0
   221/272     4.65G      0.43      0.25         0     0.679        44       416     0.895     0.959     0.941     0.926     0.512      0.39         0
   222/272     4.65G      0.43     0.259         0     0.689       143       416     0.893     0.959     0.941     0.925     0.504     0.383         0
   223/272     4.65G     0.432     0.261         0     0.692       121       416     0.895      0.96     0.949     0.926     0.505     0.385         0
   224/272     4.65G     0.423      0.24         0     0.663       103       416     0.899     0.959     0.944     0.928     0.503     0.385         0
   225/272     4.65G     0.422     0.251         0     0.673       126       416       0.9     0.957     0.941     0.928     0.506     0.388         0
   226/272     4.65G     0.421     0.249         0      0.67       124       416     0.897     0.958     0.941     0.927       0.5     0.386         0
   227/272     4.65G      0.42     0.239         0      0.66        99       416     0.897     0.959     0.942     0.927       0.5     0.385         0
   228/272     4.65G     0.416      0.24         0     0.656       123       416     0.898      0.96     0.948     0.928     0.504      0.39         0
   229/272     4.65G     0.414     0.243         0     0.657       124       416     0.899      0.96     0.951     0.928     0.504     0.384         0
   230/272     4.65G     0.414     0.236         0      0.65       115       416     0.896      0.96      0.95     0.927     0.499     0.387         0
   231/272     4.65G     0.417     0.239         0     0.656       117       416     0.894      0.96     0.948     0.926     0.503     0.385         0
